	time	error
1069	-0.5	5e-10
1070	-0.5	5e-10
1071	-0.5	5e-10
1072	-0.5	5e-10
1073	-0.5	5e-10
1074	-0.5	5e-10
1075	-0.5	5e-10
1076	-0.5	5e-10
1077	-0.5	5e-10
1078	-0.5	5e-10
1079	-0.5	5e-10
1080	-0.5	5e-10
1081	-0.5	5e-10
1082	-0.5	5e-10
1083	-0.5	5e-10
1084	-0.5	5e-10
1085	-0.5	5e-10
1086	-0.5	5e-10
1087	-0.5	5e-10
1088	-0.5	5e-10
1089	-0.5	5e-10
1090	-0.5	5e-10
1091	-0.5	5e-10
1092	-0.5	5e-10
1093	-0.5	5e-10
1094	-0.5	5e-10
1095	-0.5	5e-10
1096	-0.5	5e-10
1097	-0.5	5e-10
1098	-0.5	5e-10
1099	-0.5	5e-10
1100	-0.5	5e-10
1101	-0.5	5e-10
1102	-0.5	5e-10
1103	-0.5	5e-10
1104	-0.5	5e-10
1105	-0.5	5e-10
1106	-0.5	5e-10
1107	-0.5	5e-10
1108	-0.5	5e-10
1109	-0.5	5e-10
1110	-0.5	5e-10
1111	-0.5	5e-10
1112	-0.5	5e-10
1113	-0.5	5e-10
1114	-0.5	5e-10
1115	-0.5	5e-10
1116	-0.5	5e-10
1117	-0.5	5e-10
1118	-0.5	5e-10
1119	-0.5	5e-10
1120	-0.5	5e-10
1121	-0.5	5e-10
1122	-0.5	5e-10
1123	-0.5	5e-10
1124	-0.5	5e-10
1125	-0.5	5e-10
1126	-0.5	5e-10
1127	-0.5	5e-10
1128	-0.5	5e-10
1129	-0.5	5e-10
1130	-0.5	5e-10
1131	-0.5	5e-10
1132	-0.5	5e-10
1133	-0.5	5e-10
1134	-0.5	5e-10
1135	-0.5	5e-10
1136	-0.5	5e-10
1137	-0.5	5e-10
1138	-0.5	5e-10
1139	-0.5	5e-10
1140	-0.5	5e-10
1141	-0.5	5e-10
1142	-0.5	5e-10
1143	-0.5	5e-10
1144	-0.5	5e-10
1145	-0.5	5e-10
1146	-0.5	5e-10
1147	-0.5	5e-10
1148	-0.5	5e-10
1149	-0.5	5e-10
1150	-0.5	5e-10
1151	-0.5	5e-10
1152	-0.5	5e-10
1153	-0.5	5e-10
1154	-0.5	5e-10
1155	-0.5	5e-10
1156	-0.5	5e-10
1157	-0.5	5e-10
1158	-0.5	5e-10
1159	-0.5	5e-10
1160	-0.5	5e-10
1161	-0.5	5e-10
1162	-0.5	5e-10
1163	-0.5	5e-10
1164	-0.5	5e-10
1165	-0.5	5e-10
1166	-0.5	5e-10
1167	-0.5	5e-10
1168	-0.5	5e-10
1169	-0.5	5e-10
1170	-0.5	5e-10
1171	-0.5	5e-10
1172	-0.5	5e-10
1173	-0.5	5e-10
1174	-0.5	5e-10
1175	-0.5	5e-10
1176	-0.5	5e-10
1177	-0.5	5e-10
1178	-0.5	5e-10
1179	-0.5	5e-10
1180	-0.5	5e-10
1181	-0.5	5e-10
1182	-0.5	5e-10
1183	-0.5	5e-10
1184	-0.5	5e-10
1185	-0.5	5e-10
1186	-0.5	5e-10
1187	-0.5	5e-10
1188	-0.5	5e-10
1189	-0.5	5e-10
1190	-0.5	5e-10
1191	-0.5	5e-10
1192	-0.5	5e-10
1193	-0.5	5e-10
1194	-0.5	5e-10
1195	-0.5	5e-10
1196	-0.5	5e-10
1197	-0.5	5e-10
1198	-0.5	5e-10
1199	-0.5	5e-10
1200	-0.5	5e-10
1201	-0.5	5e-10
1202	-0.5	5e-10
1203	-0.5	5e-10
1204	-0.5	5e-10
1205	-0.5	5e-10
1206	-0.5	5e-10
1207	-0.5	5e-10
1208	-0.5	5e-10
1209	-0.5	5e-10
1210	-0.5	5e-10
1211	-0.5	5e-10
1212	-0.5	5e-10
1213	-0.5	5e-10
1214	-0.5	5e-10
1215	-0.5	5e-10
1216	-0.5	5e-10
